gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance	iBAQ_Step04	iBAQ_Step04_cumulative_abundance	iBAQ_Step05	iBAQ_Step05_cumulative_abundance	iBAQ_Step09	iBAQ_Step09_cumulative_abundance	iBAQ_Step10	iBAQ_Step10_cumulative_abundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0					4.59165577905e-07			0.0	-8.1839794332e-07	0.0	-3.56448835719e-07	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
b0001	190	255	1	gene		190	0	P0AD86				4.59165577905e-07			4.59165577905e-07	-8.1839794332e-07	-8.1839794332e-07	-3.56448835719e-07	-3.56448835719e-07	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
b0002	337	2799	1	gene		337	0	P00561				4.59165577905e-07			9.1833115581e-07	0.000999816904564	-1.63679588664e-06	0.00109833379928	-7.12897671437e-07	0.0020250867537	-0.0	0.00186676258678	-0.0	0.00209515835973	-0.0
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.0331305072859	0.0325562080211	0.0333020874693	1.37749673371e-06	0.000174531220948	0.000998180108677	0.000216200435234	0.00109762090161	0.000343641265644	0.0020250867537	0.000417626446593	0.00186676258678	0.000354990004836	0.00209515835973
b0004	3734	5020	1	gene		3734	0	P00934				4.59165577905e-07			0.0331318847827	0.00158013282246	0.00117271132962	0.00199413861065	0.00131382133684	0.00305111767812	0.00236872801934	0.00304045507374	0.00228438903338	0.0033892221749	0.00245014836457
b0005	5234	5530	1	gene		5234	0	P75616				4.59165577905e-07			0.0331323439482	-8.1839794332e-07	0.00275284415209	-3.56448835719e-07	0.0033079599475	-0.0	0.00541984569746	-0.0	0.00532484410712	-0.0	0.00583937053947
b0006	5683	6459	-1	gene		5683	0	P0A8I3				4.59165577905e-07			0.0331328031138	6.17377773989e-05	0.00275202575414	6.10237480057e-05	0.00330760349866	5.28827639097e-05	0.00541984569746	4.80919816096e-05	0.00532484410712	5.69742704889e-05	0.00583937053947
b0007	6529	7959	-1	gene		6529	0	P30143				4.59165577905e-07			0.0331332622794	-8.1839794332e-07	0.00281376353154	-3.56448835719e-07	0.00336862724667	-0.0	0.00547272846137	-0.0	0.00537293608873	-0.0	0.00589634480996
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0					4.59165577905e-07			0.033133721445	-8.1839794332e-07	0.0028129451336	-3.56448835719e-07	0.00336827079783	-0.0	0.00547272846137	-0.0	0.00537293608873	-0.0	0.00589634480996
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.620909238859	0.622423083507	0.610793999466	0.0331341806105	0.00255749617922	0.00281212673566	0.00260902413347	0.003367914349	0.00236712074615	0.00547272846137	0.00288627468919	0.00537293608873	0.00280792045042	0.00589634480996
