gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	W3110_control	W3110_control_cumulative_abundance	W3110_cumate	W3110_cumate_cumulative_abundance	Step_06_control	Step_06_control_cumulative_abundance	Step_06_cumate	Step_06_cumate_cumulative_abundance	Step_07_control	Step_07_control_cumulative_abundance	Step_07_cumate	Step_07_cumate_cumulative_abundance	Step_11_control	Step_11_control_cumulative_abundance	Step_11_cumate	Step_11_cumate_cumulative_abundance	Step_12_lowOD_control	Step_12_lowOD_control_cumulative_abundance	Step_12_lowOD_cumate	Step_12_lowOD_cumate_cumulative_abundance	Step_15_control	Step_15_control_cumulative_abundance	Step_15_cumate	Step_15_cumate_cumulative_abundance	Step_16_control	Step_16_control_cumulative_abundance	Step_16_cumate	Step_16_cumate_cumulative_abundance	MGF-01_control	MGF-01_control_cumulative_abundance	MGF-01_cumate	MGF-01_cumate_cumulative_abundance	MGF-02_control	MGF-02_control_cumulative_abundance	MGF-02_cumate	MGF-02_cumate_cumulative_abundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0					4.59165577905e-07			0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
b0001	190	255	1	gene		190	0	P0AD86				4.59165577905e-07			4.59165577905e-07	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
b0002	337	2799	1	gene		337	0	P00561				4.59165577905e-07			9.1833115581e-07	0.000232153125629	-0.0	0.000241883011772	-0.0	0.000432624980202	-0.0	0.000494796630762	-0.0	0.000437280362478	-0.0	0.000484631106285	-0.0	0.000748900365596	-0.0	0.000646952043134	-0.0	0.000589020646735	-0.0	0.000549203640685	-0.0	0.00076938972944	-0.0	0.000448613241232	-0.0	0.000768345153822	-0.0	0.00045883502404	-0.0	0.000512997564754	-0.0	0.000385944275375	-0.0	0.000940246735347	-0.0	0.00050471747795	-0.0
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.0331305072859	0.0325562080211	0.0333020874693	1.37749673371e-06	5.43488377473e-05	0.000232153125629	5.15033385263e-05	0.000241883011772	0.000101876022364	0.000432624980202	9.89503599652e-05	0.000494796630762	9.72610463307e-05	0.000437280362478	9.48647999441e-05	0.000484631106285	0.000211292388865	0.000748900365596	0.00010949485449	0.000646952043134	9.17055298254e-05	0.000589020646735	8.47479663098e-05	0.000549203640685	0.000190125775939	0.00076938972944	8.33527138182e-05	0.000448613241232	0.000182527602035	0.000768345153822	7.52492668993e-05	0.00045883502404	9.99173702164e-05	0.000512997564754	0.000103551114457	0.000385944275375	0.000198171737472	0.000940246735347	7.40291995674e-05	0.00050471747795
b0004	3734	5020	1	gene		3734	0	P00934				4.59165577905e-07			0.0331318847827	0.000203566731359	0.000286501963376	0.0002364933368	0.000293386350298	0.00034268059781	0.000534501002566	0.000470951420572	0.000593746990727	0.000336885495594	0.000534541408809	0.000461995461709	0.000579495906229	0.000563409572584	0.000960192754461	0.000566937242343	0.000756446897624	0.000584849155491	0.00068072617656	0.00047481470573	0.000633951606995	0.000644423596074	0.000959515505379	0.000458768599697	0.000531965955051	0.000673772494989	0.000950872755857	0.000439817871534	0.000534084290939	0.00041864157757	0.000612914934971	0.000361568125492	0.000489495389833	0.000789564928197	0.00113841847282	0.000473668088498	0.000578746677517
b0005	5234	5530	1	gene		5234	0	P75616				4.59165577905e-07			0.0331323439482	-0.0	0.000490068694735	-0.0	0.000529879687098	-0.0	0.000877181600376	-0.0	0.0010646984113	-0.0	0.000871426904403	-0.0	0.00104149136794	-0.0	0.00152360232704	-0.0	0.00132338413997	-0.0	0.00126557533205	-0.0	0.00110876631272	-0.0	0.00160393910145	-0.0	0.000990734554747	-0.0	0.00162464525085	-0.0	0.000973902162473	-0.0	0.00103155651254	-0.0	0.000851063515325	-0.0	0.00192798340102	-0.0	0.00105241476601
b0006	5683	6459	-1	gene		5683	0	P0A8I3				4.59165577905e-07			0.0331328031138	0.000378788673263	0.000490068694735	0.000190749500569	0.000529879687098	0.000368664937927	0.000877181600376	0.000229690623123	0.0010646984113	0.000348637884007	0.000871426904403	0.000287679370042	0.00104149136794	0.00021400854787	0.00152360232704	6.76162920993e-05	0.00132338413997	0.000354400430983	0.00126557533205	5.52433389723e-05	0.00110876631272	0.000496028033196	0.00160393910145	0.000319297425921	0.000990734554747	0.000269202313406	0.00162464525085	0.000267157340878	0.000973902162473	0.000271044239274	0.00103155651254	0.000355579750522	0.000851063515325	3.55530409949e-05	0.00192798340102	4.28957784569e-05	0.00105241476601
b0007	6529	7959	-1	gene		6529	0	P30143				4.59165577905e-07			0.0331332622794	-0.0	0.000868857367998	-0.0	0.000720629187667	-0.0	0.0012458465383	-0.0	0.00129438903442	-0.0	0.00122006478841	-0.0	0.00132917073798	-0.0	0.00173761087491	-0.0	0.00139100043207	-0.0	0.00161997576303	-0.0	0.0011640096517	-0.0	0.00209996713465	-0.0	0.00131003198067	-0.0	0.00189384756425	-0.0	0.00124105950335	-0.0	0.00130260075181	-0.0	0.00120664326585	-0.0	0.00196353644201	-0.0	0.00109531054447
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0					4.59165577905e-07			0.033133721445	-0.0	0.000868857367998	-0.0	0.000720629187667	-0.0	0.0012458465383	-0.0	0.00129438903442	-0.0	0.00122006478841	-0.0	0.00132917073798	-0.0	0.00173761087491	-0.0	0.00139100043207	-0.0	0.00161997576303	-0.0	0.0011640096517	-0.0	0.00209996713465	-0.0	0.00131003198067	-0.0	0.00189384756425	-0.0	0.00124105950335	-0.0	0.00130260075181	-0.0	0.00120664326585	-0.0	0.00196353644201	-0.0	0.00109531054447
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.620909238859	0.622423083507	0.610793999466	0.0331341806105	0.00280620378393	0.000868857367998	0.00324500930465	0.000720629187667	0.00292274160826	0.0012458465383	0.00360791799066	0.00129438903442	0.00296019175085	0.00122006478841	0.00391645983958	0.00132917073798	0.00276658106698	0.00173761087491	0.00345774570548	0.00139100043207	0.00254215242973	0.00161997576303	0.00314128757009	0.0011640096517	0.00230864398911	0.00209996713465	0.00295764143436	0.00131003198067	0.00233821861211	0.00189384756425	0.00318142383998	0.00124105950335	0.00234333299441	0.00130260075181	0.00354575189889	0.00120664326585	0.00216361344782	0.00196353644201	0.00314598783582	0.00109531054447
