$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-01_control	MGF-01_control_cumulative_abundance
b3339	14	gene	0.047992470987	0.0479707222958	0.694267255028
b3338	14	gene	0.047992470987	1.59431544592e-05	0.694251311874
b3336	14	gene	0.047992470987	5.80553686907e-06	0.694245506337
PM0-9799	14	promoter	0.047992470987	-0.0	0.742237977324
PM0-3321	14	promoter	0.047992470987	-0.0	0.694267255028
b3337	14	gene	0.047992470987	-0.0	0.694251311874
b3335	14	gene	0.047992470987	-0.0	0.694245506337
b3334	14	gene	0.047992470987	-0.0	0.694245506337
b3333	14	gene	0.047992470987	-0.0	0.694245506337
b3332	14	gene	0.047992470987	-0.0	0.694245506337
b3331	14	gene	0.047992470987	-0.0	0.694245506337
b3330	14	gene	0.047992470987	-0.0	0.694245506337
b3329	14	gene	0.047992470987	-0.0	0.694245506337
b3328	14	gene	0.047992470987	-0.0	0.694245506337
b3327	14	gene	0.047992470987	-0.0	0.694245506337
b3326	14	gene	0.047992470987	-0.0	0.694245506337
b3325	14	gene	0.047992470987	-0.0	0.694245506337
b3324	14	gene	0.047992470987	-0.0	0.694245506337
PM0-9514	14	promoter	0.047992470987	-0.0	0.694245506337
PM-8819	14	promoter	0.047992470987	-0.0	0.694245506337
b3323	14	gene	0.047992470987	-0.0	0.694245506337
b3322	14	gene	0.047992470987	-0.0	0.694245506337
b4384	13	gene	0.020645605689	0.00590694471889	0.991146183539
b4382	13	gene	0.020645605689	0.00463567195967	0.983012159221
b4383	13	gene	0.020645605689	0.00349835235799	0.987647831181
b4381	13	gene	0.020645605689	0.00331133956497	0.979700819656
b4376	13	gene	0.020645605689	0.00224059183465	0.977449369842
b4375	13	gene	0.020645605689	0.000839745085827	0.976609624756
b4371	13	gene	0.020645605689	0.000127996803764	0.976461730852
b4386	13	gene	0.020645605689	4.92562647148e-05	0.997056089753
b4374	13	gene	0.020645605689	1.13801516584e-05	0.976598244605
b4380	13	gene	0.020645605689	1.04797579934e-05	0.979690339898
b4373	13	gene	0.020645605689	8.51694916111e-06	0.976589727656
b4385	13	gene	0.020645605689	2.96149538315e-06	0.997053128258
b4387	13	gene	0.020645605689	1.99052279284e-06	0.997105346018
b4378	13	gene	0.020645605689	3.78221276627e-07	0.979689961677
PM00508	13	promoter	0.020645605689	-0.0	0.997107336541
PM00507	13	promoter	0.020645605689	-0.0	0.987647831181
PM00024	13	promoter	0.020645605689	-0.0	0.979700819656
b4379	13	gene	0.020645605689	0.0	0.979690339898
b4377	13	gene	0.020645605689	0.0	0.979689961677
b4568	13	gene	0.020645605689	-0.0	0.979689961677
PM00529	13	promoter	0.020645605689	-0.0	0.977449369842
b4372	13	gene	0.020645605689	0.0	0.976589727656
PM0-10195	13	promoter	0.020645605689	-0.0	0.976589727656
b0957	12	gene	0.017780388067	0.017371297383	0.168126243628
b0962	12	gene	0.017780388067	0.0001739787749	0.185515726851
b0967	12	gene	0.017780388067	7.19921962941e-05	0.185766523634
b0966	12	gene	0.017780388067	3.09989347202e-05	0.185735524699
b0955	12	gene	0.017780388067	3.05337398764e-05	0.168084995838
b0963	12	gene	0.017780388067	3.04888805024e-05	0.185689705626
b0969	12	gene	0.017780388067	2.43409891306e-05	0.185841042916
b0965	12	gene	0.017780388067	1.5330192498e-05	0.185720194506
b0960	12	gene	0.017780388067	1.1437358509e-05	0.185497541011
b0956	12	gene	0.017780388067	1.07140500278e-05	0.168115529578
b0961	12	gene	0.017780388067	6.74848195056e-06	0.185508978369
b0968	12	gene	0.017780388067	2.52708644242e-06	0.18583851583
PM0-9395	12	promoter	0.017780388067	-0.0	0.185865383905
b0970	12	gene	0.017780388067	-0.0	0.185865383905
PM0-36218	12	promoter	0.017780388067	-0.0	0.185720194506
b0964	12	gene	0.017780388067	-0.0	0.185720194506
PM0-10012	12	promoter	0.017780388067	-0.0	0.185720194506
PM0-36233	12	promoter	0.017780388067	-0.0	0.185515726851
PM0-36232	12	promoter	0.017780388067	-0.0	0.185515726851
b0959	12	gene	0.017780388067	-0.0	0.185497541011
PM0-46336	12	promoter	0.017780388067	-0.0	0.185497541011
PM00092	12	promoter	0.017780388067	-0.0	0.185497541011
b0958	12	gene	0.017780388067	-0.0	0.185497541011
PM00064	12	promoter	0.017780388067	-0.0	0.185497541011
PM0-10011	12	promoter	0.017780388067	-0.0	0.168115529578
b2414	11	gene	0.016934524105	0.0169280545939	0.374243131314
b2413	11	gene	0.016934524105	6.4695109708e-06	0.374236661803
PM0-10091	11	promoter	0.016934524105	-0.0	0.374243131314
b1493	10	gene	0.015388036523	0.011465616342	0.248772396436
b1492	10	gene	0.015388036523	0.000912641373281	0.247859755062
b1480	10	gene	0.015388036523	0.000748720108147	0.246654392705
b1452	10	gene	0.015388036523	0.000723422187017	0.244849976255
b1474	10	gene	0.015388036523	0.000472901108896	0.245673747592
b1479	10	gene	0.015388036523	0.000459782037722	0.246194610667
b1482	10	gene	0.015388036523	0.000451583451687	0.247403112813
b1468	10	gene	0.015388036523	4.69310847406e-05	0.245626816507
b1478	10	gene	0.015388036523	4.57403576269e-05	0.246148870309
b1464	10	gene	0.015388036523	2.74276270503e-05	0.245589241755
b1461	10	gene	0.015388036523	1.58433131805e-05	0.245573398442
b1467	10	gene	0.015388036523	1.01471249853e-05	0.245616669382
b1484	10	gene	0.015388036523	2.73711360886e-06	0.247854696264
b1491	10	gene	0.015388036523	2.32168431104e-06	0.247857433378
b1477	10	gene	0.015388036523	2.22160851799e-06	0.246146648701
b1495	10	gene	0.015388036523	-0.0	0.260238012778
b1494	10	gene	0.015388036523	-0.0	0.260238012778
PM450	10	promoter	0.015388036523	-0.0	0.260238012778
b1490	10	gene	0.015388036523	-0.0	0.247857433378
b1489	10	gene	0.015388036523	-0.0	0.247857433378
PM0-46160	10	promoter	0.015388036523	-0.0	0.247857433378
b1488	10	gene	0.015388036523	-0.0	0.247857433378
b1487	10	gene	0.015388036523	-0.0	0.247857433378
b1486	10	gene	0.015388036523	-0.0	0.247857433378
b1485	10	gene	0.015388036523	-0.0	0.247857433378
b1483	10	gene	0.015388036523	-0.0	0.247854696264
PM00544	10	promoter	0.015388036523	-0.0	0.247403112813
PM0-7481	10	promoter	0.015388036523	-0.0	0.247403112813
b1481	10	gene	0.015388036523	-0.0	0.247403112813
PM0-4141	10	promoter	0.015388036523	-0.0	0.247403112813
b1476	10	gene	0.015388036523	0.0	0.246146648701
b1475	10	gene	0.015388036523	0.0	0.246146648701
PM00217	10	promoter	0.015388036523	-0.0	0.245673747592
PM0-10383	10	promoter	0.015388036523	-0.0	0.245673747592
b1473	10	gene	0.015388036523	-0.0	0.245673747592
b1472	10	gene	0.015388036523	-0.0	0.245673747592
b1471	10	gene	0.015388036523	-0.0	0.245673747592
PM0-2841	10	promoter	0.015388036523	-0.0	0.245673747592
b1469	10	gene	0.015388036523	-0.0	0.245673747592
PM-8813	10	promoter	0.015388036523	-0.0	0.245626816507
b1466	10	gene	0.015388036523	-0.0	0.245616669382
b1465	10	gene	0.015388036523	-0.0	0.245616669382
b1463	10	gene	0.015388036523	-0.0	0.245589241755
b1462	10	gene	0.015388036523	-0.0	0.245589241755
b1460	10	gene	0.015388036523	-0.0	0.245573398442
b1459	10	gene	0.015388036523	-0.0	0.245573398442
b1457	10	gene	0.015388036523	-0.0	0.245573398442
b1456	10	gene	0.015388036523	-0.0	0.245573398442
b1455	10	gene	0.015388036523	-0.0	0.245573398442
b1454	10	gene	0.015388036523	-0.0	0.245573398442
PM0-10042	10	promoter	0.015388036523	-0.0	0.245573398442
PM0-8528	10	promoter	0.015388036523	-0.0	0.245573398442
b1453	10	gene	0.015388036523	-0.0	0.245573398442
PM0-10041	10	promoter	0.015388036523	-0.0	0.244849976255
b1580	9	gene	0.014900302416	0.0081777275639	0.261906134594
b1581	9	gene	0.014900302416	0.00657967398375	0.270083862158
b1584	9	gene	0.014900302416	6.77642647054e-05	0.276687945564
b1586	9	gene	0.014900302416	4.43527588492e-05	0.276756479654
