$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_16_cumate	Step_16_cumate_cumulative_abundance
b3339	14	gene	0.050773841566	0.05062259016	0.721804964867
b3336	14	gene	0.050773841566	0.000116858509681	0.721653713461
b3338	14	gene	0.050773841566	3.43928962638e-05	0.721770571971
PM0-9799	14	promoter	0.050773841566	-0.0	0.772427555027
PM0-3321	14	promoter	0.050773841566	-0.0	0.721804964867
b3337	14	gene	0.050773841566	-0.0	0.721770571971
b3335	14	gene	0.050773841566	-0.0	0.721653713461
b3334	14	gene	0.050773841566	-0.0	0.721653713461
b3333	14	gene	0.050773841566	-0.0	0.721653713461
b3332	14	gene	0.050773841566	-0.0	0.721653713461
b3331	14	gene	0.050773841566	-0.0	0.721653713461
b3330	14	gene	0.050773841566	-0.0	0.721653713461
b3329	14	gene	0.050773841566	-0.0	0.721653713461
b3328	14	gene	0.050773841566	-0.0	0.721653713461
b3327	14	gene	0.050773841566	-0.0	0.721653713461
b3326	14	gene	0.050773841566	-0.0	0.721653713461
b3325	14	gene	0.050773841566	-0.0	0.721653713461
b3324	14	gene	0.050773841566	-0.0	0.721653713461
PM0-9514	14	promoter	0.050773841566	-0.0	0.721653713461
PM-8819	14	promoter	0.050773841566	-0.0	0.721653713461
b3323	14	gene	0.050773841566	-0.0	0.721653713461
b3322	14	gene	0.050773841566	-0.0	0.721653713461
b0957	13	gene	0.02132274418	0.0207401978872	0.178630888751
b0962	13	gene	0.02132274418	0.000206880610651	0.199394585194
b0967	13	gene	0.02132274418	0.000138498075788	0.199716392781
b0969	13	gene	0.02132274418	4.68964870947e-05	0.199857807748
b0965	13	gene	0.02132274418	4.68329716425e-05	0.199639093532
b0963	13	gene	0.02132274418	3.76277273582e-05	0.199601465805
b0955	13	gene	0.02132274418	3.64663514301e-05	0.178581960055
b0966	13	gene	0.02132274418	3.04662770551e-05	0.199685926504
b0961	13	gene	0.02132274418	1.35098714284e-05	0.199381075323
b0956	13	gene	0.02132274418	1.24623438824e-05	0.178618426407
b0960	13	gene	0.02132274418	9.98868503033e-06	0.199371086638
b0968	13	gene	0.02132274418	2.91689162137e-06	0.199854890857
PM0-36218	13	promoter	0.02132274418	-0.0	0.199639093532
b0964	13	gene	0.02132274418	-0.0	0.199639093532
PM0-10012	13	promoter	0.02132274418	-0.0	0.199639093532
