$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_06_control	Step_06_control_cumulative_abundance
b3339	14	gene	0.045069180443	0.044798697871	0.707371105289
b3336	14	gene	0.045069180443	0.000247084096825	0.707100622717
b3338	14	gene	0.045069180443	2.33984749342e-05	0.707347706814
PM0-9799	14	promoter	0.045069180443	-0.0	0.75216980316
PM0-3321	14	promoter	0.045069180443	-0.0	0.707371105289
b3337	14	gene	0.045069180443	-0.0	0.707347706814
b3335	14	gene	0.045069180443	-0.0	0.707100622717
b3334	14	gene	0.045069180443	-0.0	0.707100622717
b3333	14	gene	0.045069180443	-0.0	0.707100622717
b3332	14	gene	0.045069180443	-0.0	0.707100622717
b3331	14	gene	0.045069180443	-0.0	0.707100622717
b3330	14	gene	0.045069180443	-0.0	0.707100622717
b3329	14	gene	0.045069180443	-0.0	0.707100622717
b3328	14	gene	0.045069180443	-0.0	0.707100622717
b3327	14	gene	0.045069180443	-0.0	0.707100622717
b3326	14	gene	0.045069180443	-0.0	0.707100622717
b3325	14	gene	0.045069180443	-0.0	0.707100622717
b3324	14	gene	0.045069180443	-0.0	0.707100622717
PM0-9514	14	promoter	0.045069180443	-0.0	0.707100622717
PM-8819	14	promoter	0.045069180443	-0.0	0.707100622717
b3323	14	gene	0.045069180443	-0.0	0.707100622717
b3322	14	gene	0.045069180443	-0.0	0.707100622717
b0957	13	gene	0.018361100455	0.0178826334056	0.170409756221
b0962	13	gene	0.018361100455	0.000135572341366	0.188309274823
b0967	13	gene	0.018361100455	0.000106027335053	0.18856321177
b0955	13	gene	0.018361100455	5.78835045254e-05	0.170341225967
b0966	13	gene	0.018361100455	5.73828827052e-05	0.188505828887
b0963	13	gene	0.018361100455	4.18506654672e-05	0.188444847164
b0969	13	gene	0.018361100455	3.24299233685e-05	0.188669896499
b0965	13	gene	0.018361100455	1.91310571642e-05	0.18848669783
b0956	13	gene	0.018361100455	1.0646749493e-05	0.170399109471
b0960	13	gene	0.018361100455	8.77179683475e-06	0.188292389626
b0961	13	gene	0.018361100455	8.11339949358e-06	0.188301161423
b0968	13	gene	0.018361100455	6.573942732e-07	0.188669239105
PM0-36218	13	promoter	0.018361100455	-0.0	0.18848669783
b0964	13	gene	0.018361100455	-0.0	0.18848669783
PM0-10012	13	promoter	0.018361100455	-0.0	0.18848669783
PM0-36233	13	promoter	0.018361100455	-0.0	0.188309274823
PM0-36232	13	promoter	0.018361100455	-0.0	0.188309274823
b0959	13	gene	0.018361100455	-0.0	0.188292389626
PM0-46336	13	promoter	0.018361100455	-0.0	0.188292389626
PM00092	13	promoter	0.018361100455	-0.0	0.188292389626
b0958	13	gene	0.018361100455	-0.0	0.188292389626
PM00064	13	promoter	0.018361100455	-0.0	0.188292389626
PM0-10011	13	promoter	0.018361100455	-0.0	0.170399109471
b1580	12	gene	0.017210040598	0.00882189671046	0.25392706006
b1581	12	gene	0.017210040598	0.00822903123591	0.26274895677
b1584	12	gene	0.017210040598	9.71392151983e-05	0.270994044437
b1588	12	gene	0.017210040598	3.10778354691e-05	0.271103168791
b1583	12	gene	0.017210040598	1.60564306845e-05	0.270977988006
b1586	12	gene	0.017210040598	1.09967397419e-05	0.271092172051
b1589	12	gene	0.017210040598	2.85403177248e-06	0.271134246626
b1585	12	gene	0.017210040598	9.88399093371e-07	0.271091183652
b1592	12	gene	0.017210040598	-0.0	0.271137100658
b1591	12	gene	0.017210040598	0.0	0.271137100658
b1590	12	gene	0.017210040598	-0.0	0.271137100658
b1587	12	gene	0.017210040598	-0.0	0.271103168791
