$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_07_control	Step_07_control_cumulative_abundance
b3339	14	gene	0.047591913604	0.0473645088392	0.70538608428
b3336	14	gene	0.047591913604	0.000208238836172	0.705158679516
b3338	14	gene	0.047591913604	1.91659286594e-05	0.705366918352
PM0-9799	14	promoter	0.047591913604	-0.0	0.75275059312
PM0-3321	14	promoter	0.047591913604	-0.0	0.70538608428
b3337	14	gene	0.047591913604	-0.0	0.705366918352
b3335	14	gene	0.047591913604	-0.0	0.705158679516
b3334	14	gene	0.047591913604	-0.0	0.705158679516
b3333	14	gene	0.047591913604	-0.0	0.705158679516
b3332	14	gene	0.047591913604	-0.0	0.705158679516
b3331	14	gene	0.047591913604	-0.0	0.705158679516
b3330	14	gene	0.047591913604	-0.0	0.705158679516
b3329	14	gene	0.047591913604	-0.0	0.705158679516
b3328	14	gene	0.047591913604	-0.0	0.705158679516
b3327	14	gene	0.047591913604	-0.0	0.705158679516
b3326	14	gene	0.047591913604	-0.0	0.705158679516
b3325	14	gene	0.047591913604	-0.0	0.705158679516
b3324	14	gene	0.047591913604	-0.0	0.705158679516
PM0-9514	14	promoter	0.047591913604	-0.0	0.705158679516
PM-8819	14	promoter	0.047591913604	-0.0	0.705158679516
b3323	14	gene	0.047591913604	-0.0	0.705158679516
b3322	14	gene	0.047591913604	-0.0	0.705158679516
b0957	13	gene	0.018513111728	0.0181241141718	0.16424230083
b0962	13	gene	0.018513111728	0.000129480523249	0.182379415948
b0967	13	gene	0.018513111728	8.86092040304e-05	0.182568767403
b0955	13	gene	0.018513111728	6.32537483366e-05	0.164174410716
b0963	13	gene	0.018513111728	3.24116178498e-05	0.182508896471
b0969	13	gene	0.018513111728	2.81886000413e-05	0.182659333844
b0966	13	gene	0.018513111728	2.14129608139e-05	0.182547354442
b0960	13	gene	0.018513111728	1.13869719262e-05	0.182366415002
b0965	13	gene	0.018513111728	6.04635314431e-06	0.182541308089
b0956	13	gene	0.018513111728	4.63636543014e-06	0.164237664465
b0968	13	gene	0.018513111728	1.95723758786e-06	0.182657376607
b0961	13	gene	0.018513111728	1.61397380919e-06	0.182377801974
PM0-36218	13	promoter	0.018513111728	-0.0	0.182541308089
b0964	13	gene	0.018513111728	-0.0	0.182541308089
PM0-10012	13	promoter	0.018513111728	-0.0	0.182541308089
PM0-36233	13	promoter	0.018513111728	-0.0	0.182379415948
PM0-36232	13	promoter	0.018513111728	-0.0	0.182379415948
b0959	13	gene	0.018513111728	-0.0	0.182366415002
PM0-46336	13	promoter	0.018513111728	-0.0	0.182366415002
PM00092	13	promoter	0.018513111728	-0.0	0.182366415002
b0958	13	gene	0.018513111728	-0.0	0.182366415002
PM00064	13	promoter	0.018513111728	-0.0	0.182366415002
PM0-10011	13	promoter	0.018513111728	-0.0	0.164237664465
b1580	12	gene	0.01552172584	0.00769923896703	0.246898371829
b1581	12	gene	0.01552172584	0.00764506998737	0.254597610796
b1584	12	gene	0.01552172584	0.000111389897362	0.262261233945
b1588	12	gene	0.01552172584	3.48509057539e-05	0.26238157873
