$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_06_cumate	Step_06_cumate_cumulative_abundance
b3339	14	gene	0.053823126319	0.0536030009869	0.719876411653
b3336	14	gene	0.053823126319	0.000203082629719	0.719656286321
b3338	14	gene	0.053823126319	1.70427019851e-05	0.719859368951
PM0-9799	14	promoter	0.053823126319	-0.0	0.77347941264
PM0-3321	14	promoter	0.053823126319	-0.0	0.719876411653
b3337	14	gene	0.053823126319	-0.0	0.719859368951
b3335	14	gene	0.053823126319	-0.0	0.719656286321
b3334	14	gene	0.053823126319	-0.0	0.719656286321
b3333	14	gene	0.053823126319	-0.0	0.719656286321
b3332	14	gene	0.053823126319	-0.0	0.719656286321
b3331	14	gene	0.053823126319	-0.0	0.719656286321
b3330	14	gene	0.053823126319	-0.0	0.719656286321
b3329	14	gene	0.053823126319	-0.0	0.719656286321
b3328	14	gene	0.053823126319	-0.0	0.719656286321
b3327	14	gene	0.053823126319	-0.0	0.719656286321
b3326	14	gene	0.053823126319	-0.0	0.719656286321
b3325	14	gene	0.053823126319	-0.0	0.719656286321
b3324	14	gene	0.053823126319	-0.0	0.719656286321
PM0-9514	14	promoter	0.053823126319	-0.0	0.719656286321
PM-8819	14	promoter	0.053823126319	-0.0	0.719656286321
b3323	14	gene	0.053823126319	-0.0	0.719656286321
b3322	14	gene	0.053823126319	-0.0	0.719656286321
b0957	13	gene	0.025897817463	0.0253455084828	0.176584117511
b0962	13	gene	0.025897817463	0.000186225949486	0.201949142108
b0967	13	gene	0.025897817463	0.000121772065878	0.202251986829
b0955	13	gene	0.025897817463	5.29003792001e-05	0.176526768239
b0969	13	gene	0.025897817463	5.01299147842e-05	0.202374455788
b0965	13	gene	0.025897817463	4.70225967611e-05	0.202178166573
b0963	13	gene	0.025897817463	4.27985160858e-05	0.202135368057
b0966	13	gene	0.025897817463	2.67976593239e-05	0.20222518917
b0961	13	gene	0.025897817463	1.35458771545e-05	0.201935596231
b0960	13	gene	0.025897817463	5.97023709217e-06	0.201929625993
b0956	13	gene	0.025897817463	4.44889241249e-06	0.176579668618
b0968	13	gene	0.025897817463	6.96892306187e-07	0.202373758895
PM0-36218	13	promoter	0.025897817463	-0.0	0.202178166573
b0964	13	gene	0.025897817463	-0.0	0.202178166573
PM0-10012	13	promoter	0.025897817463	-0.0	0.202178166573
PM0-36233	13	promoter	0.025897817463	-0.0	0.201949142108
PM0-36232	13	promoter	0.025897817463	-0.0	0.201949142108
b0959	13	gene	0.025897817463	-0.0	0.201929625993
PM0-46336	13	promoter	0.025897817463	-0.0	0.201929625993
PM00092	13	promoter	0.025897817463	-0.0	0.201929625993
b0958	13	gene	0.025897817463	-0.0	0.201929625993
PM00064	13	promoter	0.025897817463	-0.0	0.201929625993
PM0-10011	13	promoter	0.025897817463	-0.0	0.176579668618
b1241	12	gene	0.018388374788	0.00866823237513	0.236079843542
b1243	12	gene	0.018388374788	0.00776675921107	0.244748075917
b1251	12	gene	0.018388374788	0.000607901167748	0.253832994743
b1246	12	gene	0.018388374788	0.00048047054746	0.25287667578
b1247	12	gene	0.018388374788	0.000427648143175	0.253357146327
b1245	12	gene	0.018388374788	0.000242712366594	0.252633963413
b1244	12	gene	0.018388374788	0.000119128284769	0.252514835128
b1238	12	gene	0.018388374788	2.73224193285e-05	0.236052521123
b1248	12	gene	0.018388374788	2.71327541452e-05	0.25378479447
b1250	12	gene	0.018388374788	1.6982976754e-05	0.253816011766
b1249	12	gene	0.018388374788	4.08454181017e-06	0.253811927225
PM0-10028	12	promoter	0.018388374788	-0.0	0.254440895911
b4595	12	gene	0.018388374788	-0.0	0.253816011766
PM1023	12	promoter	0.018388374788	-0.0	0.253816011766
PM00306	12	promoter	0.018388374788	-0.0	0.244748075917
b1242	12	gene	0.018388374788	-0.0	0.244748075917
PM00279	12	promoter	0.018388374788	-0.0	0.244748075917
b4573	12	gene	0.018388374788	-0.0	0.236079843542
b0605	11	gene	0.015256699539	0.0131254777193	0.112449681433
b0606	11	gene	0.015256699539	0.00172121202681	0.125575159153
b0607	11	gene	0.015256699539	0.000276772993219	0.127296371179
b0611	11	gene	0.015256699539	6.72178301302e-05	0.127596016683
b0598	11	gene	0.015256699539	4.10180526326e-05	0.112406534974
b0610	11	gene	0.015256699539	2.28725100154e-05	0.127573144173
b0604	11	gene	0.015256699539	2.12840643171e-06	0.112447553027
PM0-9991	11	promoter	0.015256699539	-0.0	0.127663234513
b0608	11	gene	0.015256699539	0.0	0.127573144173
PM0-9990	11	promoter	0.015256699539	-0.0	0.127573144173
PM-8821	11	promoter	0.015256699539	-0.0	0.125575159153
PM00102	11	promoter	0.015256699539	-0.0	0.112449681433
PM0-10408	11	promoter	0.015256699539	-0.0	0.112449681433
PM0-10406	11	promoter	0.015256699539	-0.0	0.112449681433
b0603	11	gene	0.015256699539	-0.0	0.112447553027
PM0-10368	11	promoter	0.015256699539	-0.0	0.112447553027
b0602	11	gene	0.015256699539	-0.0	0.112447553027
b0601	11	gene	0.015256699539	-0.0	0.112447553027
b0600	11	gene	0.015256699539	-0.0	0.112447553027
b0599	11	gene	0.015256699539	-0.0	0.112447553027
b4512	11	gene	0.015256699539	-0.0	0.112447553027
PM0-7163	11	promoter	0.015256699539	-0.0	0.112406534974
b2414	10	gene	0.014648870477	0.0146368476761	0.405722443632
b2413	10	gene	0.014648870477	1.20228007474e-05	0.405710420831
PM0-10091	10	promoter	0.014648870477	-0.0	0.405722443632
b1580	9	gene	0.014529639478	0.00799685413846	0.288937262352
b1581	9	gene	0.014529639478	0.00630357551648	0.29693411649
b1584	9	gene	0.014529639478	0.000109392412369	0.303265160565
b1588	9	gene	0.014529639478	5.31341489684e-05	0.303395011586
b1583	9	gene	0.014529639478	2.74685580788e-05	0.303237692007
b1589	9	gene	0.014529639478	1.77265596043e-05	0.303448145735
