$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_16_control	Step_16_control_cumulative_abundance
b3339	14	gene	0.051460690478	0.0510897920515	0.700369466143
b3336	14	gene	0.051460690478	0.000347316958033	0.699998567716
b3338	14	gene	0.051460690478	2.35814682935e-05	0.700345884674
PM0-9799	14	promoter	0.051460690478	-0.0	0.751459258194
PM0-3321	14	promoter	0.051460690478	-0.0	0.700369466143
b3337	14	gene	0.051460690478	-0.0	0.700345884674
b3335	14	gene	0.051460690478	-0.0	0.699998567716
b3334	14	gene	0.051460690478	-0.0	0.699998567716
b3333	14	gene	0.051460690478	-0.0	0.699998567716
b3332	14	gene	0.051460690478	-0.0	0.699998567716
b3331	14	gene	0.051460690478	-0.0	0.699998567716
b3330	14	gene	0.051460690478	-0.0	0.699998567716
b3329	14	gene	0.051460690478	-0.0	0.699998567716
b3328	14	gene	0.051460690478	-0.0	0.699998567716
b3327	14	gene	0.051460690478	-0.0	0.699998567716
b3326	14	gene	0.051460690478	-0.0	0.699998567716
b3325	14	gene	0.051460690478	-0.0	0.699998567716
b3324	14	gene	0.051460690478	-0.0	0.699998567716
PM0-9514	14	promoter	0.051460690478	-0.0	0.699998567716
PM-8819	14	promoter	0.051460690478	-0.0	0.699998567716
b3323	14	gene	0.051460690478	-0.0	0.699998567716
b3322	14	gene	0.051460690478	-0.0	0.699998567716
b2414	13	gene	0.018154078968	0.0181453332454	0.372689804933
b2413	13	gene	0.018154078968	8.74572254308e-06	0.37268105921
PM0-10091	13	promoter	0.018154078968	-0.0	0.372689804933
b1580	12	gene	0.017627857647	0.00924796696528	0.255575045898
b1581	12	gene	0.017627857647	0.00822880614883	0.264823012863
b1584	12	gene	0.017627857647	7.50153603921e-05	0.273077758629
b1586	12	gene	0.017627857647	4.09546719249e-05	0.273154083469
b1583	12	gene	0.017627857647	2.5939617036e-05	0.273051819012
b1588	12	gene	0.017627857647	7.60204684731e-06	0.273195038141
b1585	12	gene	0.017627857647	1.30948011999e-06	0.273152773989
b1589	12	gene	0.017627857647	2.63356786208e-07	0.273202640188
b1591	12	gene	0.017627857647	0.0	0.273202903545
b1590	12	gene	0.017627857647	-0.0	0.273202903545
b1587	12	gene	0.017627857647	-0.0	0.273195038141
