$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-02_cumate	MGF-02_cumate_cumulative_abundance
b3339	11	gene	0.048207594547	0.0481445129393	0.721873324919
b3338	11	gene	0.048207594547	5.2422119565e-05	0.7218209028
b3336	11	gene	0.048207594547	1.06594877985e-05	0.721810243312
PM0-9799	11	promoter	0.048207594547	-0.0	0.770017837859
PM0-3321	11	promoter	0.048207594547	-0.0	0.721873324919
b3337	11	gene	0.048207594547	-0.0	0.7218209028
b3335	11	gene	0.048207594547	-0.0	0.721810243312
b3334	11	gene	0.048207594547	-0.0	0.721810243312
b3333	11	gene	0.048207594547	-0.0	0.721810243312
b3332	11	gene	0.048207594547	-0.0	0.721810243312
b3331	11	gene	0.048207594547	-0.0	0.721810243312
b3330	11	gene	0.048207594547	-0.0	0.721810243312
b3329	11	gene	0.048207594547	-0.0	0.721810243312
b3328	11	gene	0.048207594547	-0.0	0.721810243312
b3327	11	gene	0.048207594547	-0.0	0.721810243312
b3326	11	gene	0.048207594547	-0.0	0.721810243312
b3325	11	gene	0.048207594547	-0.0	0.721810243312
b3324	11	gene	0.048207594547	-0.0	0.721810243312
PM0-9514	11	promoter	0.048207594547	-0.0	0.721810243312
PM-8819	11	promoter	0.048207594547	-0.0	0.721810243312
b3323	11	gene	0.048207594547	-0.0	0.721810243312
b3322	11	gene	0.048207594547	-0.0	0.721810243312
b1243	10	gene	0.029909527447	0.0208526198574	0.23689791132
b1241	10	gene	0.029909527447	0.00644256600056	0.230455345319
b1245	10	gene	0.029909527447	0.000651022228487	0.258043905333
b1247	10	gene	0.029909527447	0.000601842009702	0.259255619871
b1246	10	gene	0.029909527447	0.000560692309335	0.258694927562
b1251	10	gene	0.029909527447	0.000398759482386	0.259917011827
b1244	10	gene	0.029909527447	0.000293374156273	0.257750531177
b1238	10	gene	0.029909527447	4.91014572729e-05	0.230406243862
b1249	10	gene	0.029909527447	2.94822357289e-05	0.259876633617
b1248	10	gene	0.029909527447	1.91717362105e-05	0.259857461881
b1250	10	gene	0.029909527447	1.08959737556e-05	0.259906115853
PM0-10028	10	promoter	0.029909527447	-0.0	0.260315771309
b4595	10	gene	0.029909527447	-0.0	0.259906115853
PM1023	10	promoter	0.029909527447	-0.0	0.259906115853
PM00306	10	promoter	0.029909527447	-0.0	0.23689791132
b1242	10	gene	0.029909527447	-0.0	0.23689791132
PM00279	10	promoter	0.029909527447	-0.0	0.23689791132
b4573	10	gene	0.029909527447	-0.0	0.230455345319
b0957	9	gene	0.018694728579	0.0180615892688	0.177955970134
b0962	9	gene	0.018694728579	0.000207261629632	0.19603468954
b0967	9	gene	0.018694728579	0.000136161166693	0.196376018879
b0969	9	gene	0.018694728579	6.23538076056e-05	0.196512485137
b0955	9	gene	0.018694728579	6.22556432719e-05	0.177880110365
b0963	9	gene	0.018694728579	5.41072496094e-05	0.196241951169
b0965	9	gene	0.018694728579	4.63253298573e-05	0.196296058419
b0966	9	gene	0.018694728579	3.36351299538e-05	0.196342383749
b0956	9	gene	0.018694728579	1.36041263548e-05	0.177942366008
b0961	9	gene	0.018694728579	1.0098818193e-05	0.196024590721
b0960	9	gene	0.018694728579	7.03131839509e-06	0.196017559403
b0968	9	gene	0.018694728579	3.05091435011e-07	0.196512180045
PM0-36218	9	promoter	0.018694728579	-0.0	0.196296058419
b0964	9	gene	0.018694728579	-0.0	0.196296058419
PM0-10012	9	promoter	0.018694728579	-0.0	0.196296058419
PM0-36233	9	promoter	0.018694728579	-0.0	0.19603468954
PM0-36232	9	promoter	0.018694728579	-0.0	0.19603468954
b0959	9	gene	0.018694728579	-0.0	0.196017559403
PM0-46336	9	promoter	0.018694728579	-0.0	0.196017559403
PM00092	9	promoter	0.018694728579	-0.0	0.196017559403
b0958	9	gene	0.018694728579	-0.0	0.196017559403
