$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_11_control	Step_11_control_cumulative_abundance
b3339	14	gene	0.044279953467	0.0438871393982	0.710124662561
b3336	14	gene	0.044279953467	0.000382075844787	0.709731848493
b3338	14	gene	0.044279953467	1.07382237059e-05	0.710113924338
PM0-9799	14	promoter	0.044279953467	-0.0	0.75401180196
PM0-3321	14	promoter	0.044279953467	-0.0	0.710124662561
b3337	14	gene	0.044279953467	-0.0	0.710113924338
b3335	14	gene	0.044279953467	-0.0	0.709731848493
b3334	14	gene	0.044279953467	-0.0	0.709731848493
b3333	14	gene	0.044279953467	-0.0	0.709731848493
b3332	14	gene	0.044279953467	-0.0	0.709731848493
b3331	14	gene	0.044279953467	-0.0	0.709731848493
b3330	14	gene	0.044279953467	-0.0	0.709731848493
b3329	14	gene	0.044279953467	-0.0	0.709731848493
b3328	14	gene	0.044279953467	-0.0	0.709731848493
b3327	14	gene	0.044279953467	-0.0	0.709731848493
b3326	14	gene	0.044279953467	-0.0	0.709731848493
b3325	14	gene	0.044279953467	-0.0	0.709731848493
b3324	14	gene	0.044279953467	-0.0	0.709731848493
PM0-9514	14	promoter	0.044279953467	-0.0	0.709731848493
PM-8819	14	promoter	0.044279953467	-0.0	0.709731848493
b3323	14	gene	0.044279953467	-0.0	0.709731848493
b3322	14	gene	0.044279953467	-0.0	0.709731848493
b0957	13	gene	0.020585872091	0.0201250359944	0.171746587143
b0962	13	gene	0.020585872091	0.000144391603153	0.1918927505
b0967	13	gene	0.020585872091	9.97633389779e-05	0.192146800184
b0955	13	gene	0.020585872091	5.28391906881e-05	0.171684421783
b0966	13	gene	0.020585872091	5.20072886405e-05	0.192094792896
b0963	13	gene	0.020585872091	4.88745335182e-05	0.192037142103
b0969	13	gene	0.020585872091	2.34119050691e-05	0.192246881969
b0960	13	gene	0.020585872091	1.50736788372e-05	0.191871623138
b0956	13	gene	0.020585872091	9.32616937414e-06	0.171737260974
b0965	13	gene	0.020585872091	8.77625850667e-06	0.192086016637
b0961	13	gene	0.020585872091	6.05368369065e-06	0.191886696817
b0968	13	gene	0.020585872091	3.18445491949e-07	0.192246563523
PM0-36218	13	promoter	0.020585872091	-0.0	0.192086016637
b0964	13	gene	0.020585872091	-0.0	0.192086016637
PM0-10012	13	promoter	0.020585872091	-0.0	0.192086016637
PM0-36233	13	promoter	0.020585872091	-0.0	0.1918927505
PM0-36232	13	promoter	0.020585872091	-0.0	0.1918927505
b0959	13	gene	0.020585872091	-0.0	0.191871623138
PM0-46336	13	promoter	0.020585872091	-0.0	0.191871623138
PM00092	13	promoter	0.020585872091	-0.0	0.191871623138
b0958	13	gene	0.020585872091	-0.0	0.191871623138
PM00064	13	promoter	0.020585872091	-0.0	0.191871623138
PM0-10011	13	promoter	0.020585872091	-0.0	0.171737260974
b2414	12	gene	0.016890164579	0.0168750780416	0.385826314423
b2413	12	gene	0.016890164579	1.50865370284e-05	0.385811227886
PM0-10091	12	promoter	0.016890164579	-0.0	0.385826314423
b1243	11	gene	0.014007655367	0.00638651370968	0.236700601337
b1241	11	gene	0.014007655367	0.00541895131536	0.231281650021
b1251	11	gene	0.014007655367	0.000744548069742	0.244515981822
b1247	11	gene	0.014007655367	0.000460417706114	0.243964090509
b1246	11	gene	0.014007655367	0.000413818594492	0.243550271915
b1245	11	gene	0.014007655367	0.000244682644528	0.24330558927
b1244	11	gene	0.014007655367	0.000218474223595	0.243087115047
b1250	11	gene	0.014007655367	6.32618750484e-05	0.244452719947
b1238	11	gene	0.014007655367	2.87754973008e-05	0.231252874524
b1249	11	gene	0.014007655367	1.45083195697e-05	0.244438211627
b1248	11	gene	0.014007655367	1.3703411732e-05	0.244424508215
PM0-10028	11	promoter	0.014007655367	-0.0	0.245260529891
b4595	11	gene	0.014007655367	-0.0	0.244452719947
PM1023	11	promoter	0.014007655367	-0.0	0.244452719947
PM00306	11	promoter	0.014007655367	-0.0	0.236700601337
b1242	11	gene	0.014007655367	-0.0	0.236700601337
PM00279	11	promoter	0.014007655367	-0.0	0.236700601337
b4573	11	gene	0.014007655367	-0.0	0.231281650021
b1581	10	gene	0.013723876245	0.00688785293657	0.270105033241
b1580	10	gene	0.013723876245	0.00665487734623	0.263450155895
b1584	10	gene	0.013723876245	0.000113790941565	0.27701985048
b1583	10	gene	0.013723876245	2.696430244e-05	0.276992886177
b1586	10	gene	0.013723876245	1.79985641255e-05	0.277140294912
b1588	10	gene	0.013723876245	1.50636511066e-05	0.277158293476
b1585	10	gene	0.013723876245	6.6534906715e-06	0.277133641421
b1589	10	gene	0.013723876245	6.75013006534e-07	0.277173357127
b1592	10	gene	0.013723876245	-0.0	0.27717403214
b1591	10	gene	0.013723876245	0.0	0.27717403214
b1590	10	gene	0.013723876245	-0.0	0.27717403214
b1587	10	gene	0.013723876245	-0.0	0.277158293476
PM0-5721	10	promoter	0.013723876245	-0.0	0.277158293476
PM0-10047	10	promoter	0.013723876245	-0.0	0.276992886177
b1582	10	gene	0.013723876245	-0.0	0.276992886177
b0436	9	gene	0.0120612261148	0.00952317380106	0.0919919334012
b0437	9	gene	0.0120612261148	0.00105182701845	0.101515107202
b0439	9	gene	0.0120612261148	0.000846229356809	0.103206930159
b0438	9	gene	0.0120612261148	0.000639995937947	0.102566934221
PM00511	9	promoter	0.0120612261148	-0.0	0.103206930159
sraA	9	gene	0.0120612261148	-0.0	0.103206930159
PM0-9696	9	promoter	0.0120612261148	-0.0	0.102566934221
PM00569	9	promoter	0.0120612261148	-0.0	0.101515107202
PM0-9744	9	promoter	0.0120612261148	-0.0	0.101515107202
PM00339	9	promoter	0.0120612261148	-0.0	0.101515107202
PM0-9980	9	promoter	0.0120612261148	-0.0	0.0919919334012
b0033	8	gene	0.0095592783167	0.0073058871311	0.0175937730847
b0032	8	gene	0.0095592783167	0.00225339118567	0.0153403818991
PM00319	8	promoter	0.0095592783167	-0.0	0.0175937730847
PM00151	8	promoter	0.0095592783167	-0.0	0.0153403818991
b3870	7	gene	0.008014145182	0.00360712426078	0.850012482781
b3871	7	gene	0.008014145182	0.00344084081532	0.853619607042
b3893	7	gene	0.008014145182	0.000398366063727	0.857283281344
b3895	7	gene	0.008014145182	0.000320946059657	0.857705681903
b3891	7	gene	0.008014145182	0.000160353140738	0.857122928204
b3887	7	gene	0.008014145182	3.00843133301e-05	0.8570779589
b3894	7	gene	0.008014145182	2.40344951606e-05	0.857681647408
b3888	7	gene	0.008014145182	1.48849903007e-05	0.857108043213
b3884	7	gene	0.008014145182	9.13576564177e-06	0.857066073439
b3878	7	gene	0.008014145182	5.62558197454e-06	0.857060447857
b3885	7	gene	0.008014145182	2.74969524493e-06	0.857075209205
b3892	7	gene	0.008014145182	-0.0	0.857283281344
b3890	7	gene	0.008014145182	-0.0	0.857122928204
b3889	7	gene	0.008014145182	-0.0	0.857122928204
b3886	7	gene	0.008014145182	-0.0	0.8570779589
PM0-10169	7	promoter	0.008014145182	-0.0	0.857075209205
b3883	7	gene	0.008014145182	-0.0	0.857066073439
b3882	7	gene	0.008014145182	-0.0	0.857066073439
b3881	7	gene	0.008014145182	-0.0	0.857066073439
b3880	7	gene	0.008014145182	-0.0	0.857066073439
b3879	7	gene	0.008014145182	-0.0	0.857066073439
b3877	7	gene	0.008014145182	-0.0	0.857060447857
b3876	7	gene	0.008014145182	-0.0	0.857060447857
b3875	7	gene	0.008014145182	-0.0	0.857060447857
b3874	7	gene	0.008014145182	-0.0	0.857060447857
b3873	7	gene	0.008014145182	-0.0	0.857060447857
b3872	7	gene	0.008014145182	-0.0	0.857060447857
PM00034	7	promoter	0.008014145182	-0.0	0.853619607042
b1676	6	gene	0.007807261622	0.00544931451387	0.285335565914
b1677	6	gene	0.007807261622	0.00121481565741	0.290784880428
b1687	6	gene	0.007807261622	0.000435990382857	0.292454680099
b1682	6	gene	0.007807261622	0.000122720534135	0.292207458789
b1678	6	gene	0.007807261622	9.39856335081e-05	0.291999696085
b1680	6	gene	0.007807261622	8.47150279329e-05	0.292093681719
b1664	6	gene	0.007807261622	7.73362152793e-05	0.285089896703
b1667	6	gene	0.007807261622	7.48654376521e-05	0.285167232918
b1675	6	gene	0.007807261622	6.91640904173e-05	0.285266401824
b1683	6	gene	0.007807261622	6.14974298453e-05	0.292330179323
b1686	6	gene	0.007807261622	3.44303417754e-05	0.292420249757
b1681	6	gene	0.007807261622	2.90620420441e-05	0.292178396747
b1685	6	gene	0.007807261622	2.85730039897e-05	0.292391676753
b1673	6	gene	0.007807261622	1.54208445679e-05	0.285250365872
b1668	6	gene	0.007807261622	8.26751597049e-06	0.285242098356
b1688	6	gene	0.007807261622	6.48784386981e-06	0.292890670482
b1674	6	gene	0.007807261622	6.15107275239e-07	0.285265786717
b4430	6	gene	0.007807261622	-0.0	0.292391676753
PM0-2801	6	promoter	0.007807261622	-0.0	0.292391676753
b1684	6	gene	0.007807261622	0.0	0.292391676753
b1679	6	gene	0.007807261622	-0.0	0.292093681719
PM0-8763	6	promoter	0.007807261622	-0.0	0.290784880428
PM00585	6	promoter	0.007807261622	-0.0	0.285335565914
PM0-10196	6	promoter	0.007807261622	-0.0	0.285266401824
b1672	6	gene	0.007807261622	-0.0	0.285250365872
b1671	6	gene	0.007807261622	-0.0	0.285250365872
b1670	6	gene	0.007807261622	-0.0	0.285250365872
b1669	6	gene	0.007807261622	-0.0	0.285250365872
b1666	6	gene	0.007807261622	-0.0	0.285167232918
b1665	6	gene	0.007807261622	-0.0	0.285167232918
PM00648	6	promoter	0.007807261622	-0.0	0.285167232918
PM0-9712	6	promoter	0.007807261622	-0.0	0.285167232918
b0605	5	gene	0.006731341601	0.00541688466972	0.115167850706
b0606	5	gene	0.006731341601	0.000651895459225	0.120584735376
b0607	5	gene	0.006731341601	0.000552215529776	0.121236630835
b0611	5	gene	0.006731341601	6.64695948211e-05	0.121803018878
b0598	5	gene	0.006731341601	2.69983640899e-05	0.115138146871
b0610	5	gene	0.006731341601	1.41725128996e-05	0.121788846365
b0604	5	gene	0.006731341601	2.70547094169e-06	0.115165145235
PM0-9991	5	promoter	0.006731341601	-0.0	0.121869488472
b0608	5	gene	0.006731341601	0.0	0.121788846365
PM0-9990	5	promoter	0.006731341601	-0.0	0.121788846365
PM-8821	5	promoter	0.006731341601	-0.0	0.120584735376
PM00102	5	promoter	0.006731341601	-0.0	0.115167850706
PM0-10408	5	promoter	0.006731341601	-0.0	0.115167850706
PM0-10406	5	promoter	0.006731341601	-0.0	0.115167850706
b0603	5	gene	0.006731341601	-0.0	0.115165145235
PM0-10368	5	promoter	0.006731341601	-0.0	0.115165145235
b0602	5	gene	0.006731341601	-0.0	0.115165145235
b0601	5	gene	0.006731341601	-0.0	0.115165145235
b0600	5	gene	0.006731341601	-0.0	0.115165145235
b0599	5	gene	0.006731341601	-0.0	0.115165145235
b4512	5	gene	0.006731341601	-0.0	0.115165145235
PM0-7163	5	promoter	0.006731341601	-0.0	0.115138146871
b2903	4	gene	0.006672534714	0.00336532859355	0.504279688262
b2905	4	gene	0.006672534714	0.00111331438662	0.508580425645
b2904	4	gene	0.006672534714	0.000935408789946	0.507645016855
b2908	4	gene	0.006672534714	0.000527379300007	0.509746762252
b2898	4	gene	0.006672534714	0.000278309632515	0.503778522886
b2901	4	gene	0.006672534714	0.000222176038778	0.504056832518
b2910	4	gene	0.006672534714	0.000114239900525	0.510299790341
b2906	4	gene	0.006672534714	3.50209554259e-05	0.509693740032
b2909	4	gene	0.006672534714	2.5648789664e-05	0.510274141552
b2894	4	gene	0.006672534714	2.04644636182e-05	0.503741495528
b2907	4	gene	0.006672534714	1.80012641885e-05	0.509728760987
b2897	4	gene	0.006672534714	1.47891753373e-05	0.50376373371
b2896	4	gene	0.006672534714	1.77371827356e-06	0.503761959992
b2902	4	gene	0.006672534714	6.79704899137e-07	0.504279008557
b4665	4	gene	0.006672534714	-0.0	0.510414030242
PM0-10280	4	promoter	0.006672534714	-0.0	0.510414030242
b4446	4	gene	0.006672534714	-0.0	0.510414030242
b2912	4	gene	0.006672534714	-0.0	0.510414030242
b2911	4	gene	0.006672534714	-0.0	0.510414030242
PM0-10229	4	promoter	0.006672534714	-0.0	0.510414030242
PM0-46275	4	promoter	0.006672534714	-0.0	0.510299790341
PM00233	4	promoter	0.006672534714	-0.0	0.509693740032
b2900	4	gene	0.006672534714	-0.0	0.504056832518
b2899	4	gene	0.006672534714	-0.0	0.504056832518
PM0-10118	4	promoter	0.006672534714	-0.0	0.503778522886
PM0-10117	4	promoter	0.006672534714	-0.0	0.503778522886
b2895	4	gene	0.006672534714	-0.0	0.503761959992
PM0-3382	4	promoter	0.006672534714	-0.0	0.503761959992
PM0-9743	4	promoter	0.006672534714	-0.0	0.503761959992
b2465	3	gene	0.006665645453	0.00446446555859	0.410056434664
b2463	3	gene	0.006665645453	0.000600157349747	0.409065492518
b2468	3	gene	0.006665645453	0.000576377414558	0.414528406338
b2464	3	gene	0.006665645453	0.00039078479646	0.409665649868
b2431	3	gene	0.006665645453	0.000300101887402	0.408563116183
b2470	3	gene	0.006665645453	0.000120772469429	0.415104783752
b2439	3	gene	0.006665645453	5.94334509619e-05	0.408939375266
b2441	3	gene	0.006665645453	5.53313743952e-05	0.409010161143
b2434	3	gene	0.006665645453	3.15820380725e-05	0.408886789999
b2432	3	gene	0.006665645453	2.35719286071e-05	0.40886321807
b2435	3	gene	0.006665645453	1.76313711035e-05	0.408918372037
b2440	3	gene	0.006665645453	1.13524267132e-05	0.408998808717
b2467	3	gene	0.006665645453	7.50611524795e-06	0.414520900223
b2436	3	gene	0.006665645453	3.37185765121e-06	0.408936003408
b2471	3	gene	0.006665645453	3.2054141087e-06	0.415225556222
PM0-36248	3	promoter	0.006665645453	-0.0	0.415225556222
b4606	3	gene	0.006665645453	-0.0	0.415225556222
PM0-8401	3	promoter	0.006665645453	-0.0	0.415104783752
b2469	3	gene	0.006665645453	-0.0	0.415104783752
PM0-36247	3	promoter	0.006665645453	-0.0	0.415104783752
b2466	3	gene	0.006665645453	-0.0	0.414520900223
PM0-7682	3	promoter	0.006665645453	-0.0	0.410056434664
PM0-10095	3	promoter	0.006665645453	-0.0	0.409665649868
PM0-8523	3	promoter	0.006665645453	-0.0	0.409665649868
b2462	3	gene	0.006665645453	-0.0	0.409065492518
b2461	3	gene	0.006665645453	-0.0	0.409065492518
b2460	3	gene	0.006665645453	-0.0	0.409065492518
b2459	3	gene	0.006665645453	-0.0	0.409065492518
b2458	3	gene	0.006665645453	-0.0	0.409065492518
b2457	3	gene	0.006665645453	-0.0	0.409065492518
b2456	3	gene	0.006665645453	-0.0	0.409065492518
b2455	3	gene	0.006665645453	-0.0	0.409065492518
b2454	3	gene	0.006665645453	-0.0	0.409065492518
b2453	3	gene	0.006665645453	-0.0	0.409065492518
b2452	3	gene	0.006665645453	-0.0	0.409065492518
b2451	3	gene	0.006665645453	-0.0	0.409065492518
b2450	3	gene	0.006665645453	-0.0	0.409065492518
b2449	3	gene	0.006665645453	-0.0	0.409065492518
b2448	3	gene	0.006665645453	-0.0	0.409065492518
b2447	3	gene	0.006665645453	-0.0	0.409065492518
b2446	3	gene	0.006665645453	-0.0	0.409065492518
PM0-46124	3	promoter	0.006665645453	-0.0	0.409065492518
b2445	3	gene	0.006665645453	-0.0	0.409065492518
b2444	3	gene	0.006665645453	-0.0	0.409065492518
b2443	3	gene	0.006665645453	-0.0	0.409065492518
b2442	3	gene	0.006665645453	-0.0	0.409065492518
b2438	3	gene	0.006665645453	-0.0	0.408939375266
b2437	3	gene	0.006665645453	-0.0	0.408939375266
PM0-2922	3	promoter	0.006665645453	-0.0	0.408936003408
PM0-2921	3	promoter	0.006665645453	-0.0	0.408918372037
b2433	3	gene	0.006665645453	-0.0	0.408886789999
PM0-3684	3	promoter	0.006665645453	-0.0	0.408886789999
b2430	3	gene	0.006665645453	-0.0	0.408563116183
b3984	2	gene	0.006494746463	0.00390940423672	0.87469966627
b3983	2	gene	0.006494746463	0.00258534222634	0.872114324043
PM00496	2	promoter	0.006494746463	-0.0	0.872114324043
b0014	1	gene	0.00578844737855	0.00541808909753	0.00464636787345
b0015	1	gene	0.00578844737855	0.000370358281033	0.010064456971
b0019	1	gene	0.00578844737855	-0.0	0.010434815252
b4413	1	gene	0.00578844737855	-0.0	0.010434815252
b0018	1	gene	0.00578844737855	-0.0	0.010434815252
b4412	1	gene	0.00578844737855	-0.0	0.010434815252
b0016	1	gene	0.00578844737855	-0.0	0.010434815252
PM00316	1	promoter	0.00578844737855	-0.0	0.00464636787345
b0013	1	gene	0.00578844737855	-0.0	0.00464636787345
b0011	1	gene	0.00578844737855	-0.0	0.00464636787345
b0010	1	gene	0.00578844737855	-0.0	0.00464636787345
